rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Sun1,0.005917857,0.427366737,0.342,0.202,1,1.344776796,,,
Anxa4,0.002923352,0.427284038,0.58,0.36,1,1.344699713,,,
Fam133b,0.001341659,0.427180452,0.415,0.213,1,1.344603166,,,
Ptprb,0.997465882,0.426035382,0.228,0.247,1,1.343536376,,,
Ppm1h,0.006494157,0.425715509,0.845,0.843,1,1.343238521,,,
Ust,0.005474643,0.425435925,0.342,0.169,1,1.342978236,,,
Bclaf3,0.027830817,0.425211132,0.352,0.236,1,1.342768997,,,
Adh1,0.008328115,0.424376335,0.244,0.112,1,1.341992246,,,
Ccnl2,0.022716096,0.42423781,0.679,0.629,1,1.341863395,,,
Tinagl1,0.004986107,0.423965836,0.207,0.079,1,1.341610454,,,
Gm47167,0.0033105,0.422685822,0.373,0.191,1,1.340420655,,,
Gm12602,0.017745493,0.422412646,0.192,0.079,1,1.340166868,,,
Msra,0.021742906,0.422092646,0.461,0.337,1,1.339869642,,,
Slc7a6os,0.022327893,0.421698157,0.358,0.236,1,1.33950332,,,
Akap8l,0.005154182,0.421595689,0.596,0.427,1,1.339408185,,,
Spryd3,0.001779066,0.421472665,0.207,0.067,1,1.339293974,,,
Ica1,0.006122901,0.420816711,0.741,0.562,1,1.338685171,,,
Mb21d2,0.346999455,0.42064305,0.306,0.281,1,1.33852404,,,
Igsf3,0.004360044,0.420128066,0.244,0.101,1,1.338046326,,,
Wipf2,0.010915283,0.420036403,0.642,0.517,1,1.337961315,,,
Ppa1,0.004255383,0.419889557,0.233,0.09,1,1.337825136,,,
Dennd2c,0.042507322,0.419641741,0.207,0.112,1,1.337595354,,,
Kpna3,0.168980988,0.419360521,0.472,0.416,1,1.337334646,,,
Rab12,0.121164683,0.419351978,0.347,0.27,1,1.337326727,,,
Jup,0.033988919,0.418835555,0.472,0.348,1,1.336848107,,,
Etv6,0.011498044,0.417409306,0.876,0.809,1,1.335527151,,,
Atad1,0.037271973,0.417282421,0.373,0.281,1,1.335409697,,,
Atxn7l3b,0.007036718,0.416163404,0.249,0.112,1,1.334374296,,,
Trap1,0.000520966,0.41605187,0.233,0.067,1,1.334271141,,,
Chrm3,0.993987461,0.415985343,0.15,0.157,1,1.334209615,,,
Acot11,0.001731806,0.415652148,0.166,0.034,1,1.33390151,,,
B3galt2,0.001106246,0.415557146,0.238,0.079,1,1.333813675,,,
Cmtm4,0.023553167,0.415239541,0.373,0.258,1,1.333520072,,,
Pir,0.090010075,0.415028251,0.269,0.191,1,1.333324786,,,
Pnisr,9.97E-05,0.414295849,0.865,0.764,1,1.332648079,,,
Scarb2,0.007934576,0.414278605,0.415,0.247,1,1.332632151,,,
Ubn2,0.003607697,0.414003104,0.902,0.843,1,1.332377692,,,
Arhgap6,0.735154491,0.412727623,0.477,0.573,1,1.331200262,,,
Cyp51,0.000881194,0.412656539,0.218,0.056,1,1.331134673,,,
Ap3b1,0.01547148,0.412547275,0.762,0.685,1,1.331033863,,,
Foxn2,0.014031552,0.412314459,0.254,0.135,1,1.330819084,,,
Reep3,0.015559267,0.412261598,0.699,0.573,1,1.330770322,,,
Ksr2,0.209662941,0.412208401,0.166,0.112,1,1.330721253,,,
Ctr9,0.042826351,0.411706584,0.373,0.258,1,1.330258465,,,
Epas1,0.09252003,0.411668428,0.311,0.225,1,1.330223283,,,
Nebl,0.431397752,0.410635912,0.155,0.124,1,1.329271602,,,
Gm47350,0.023441612,0.410405164,0.171,0.079,1,1.329059013,,,
Mavs,0.00652298,0.40990025,0.228,0.101,1,1.32859395,,,
Mal,0.017208551,0.409882349,0.699,0.573,1,1.328577465,,,
Srsf4,0.015819215,0.409142631,0.508,0.404,1,1.327896434,,,
Rfwd3,0.066262463,0.409055502,0.409,0.303,1,1.32781624,,,
Duoxa1,0.001686578,0.408955196,0.104,0,1,1.327723925,,,
Gm10550,0.000656499,0.408009143,0.181,0.034,1,1.326853549,,,
Gm22146,0.000184619,0.407948069,0.212,0.034,1,1.326797381,,,
Vangl1,0.007213196,0.407899062,0.321,0.169,1,1.326752312,,,
Gfpt1,0.021356758,0.407392199,0.456,0.326,1,1.326286264,,,
Runx2,0.087279984,0.406545452,0.269,0.191,1,1.325508068,,,
Atp8a2,0.020017996,0.406151849,0.187,0.079,1,1.325146486,,,
Pgm2,0.006782133,0.405905755,0.383,0.225,1,1.324920463,,,
Mfsd4a,0.01700405,0.404379253,0.44,0.292,1,1.323519319,,,
Mycbp2,0.00057236,0.404224292,0.953,0.91,1,1.323377166,,,
Gm12002,0.015560225,0.404177985,0.124,0.034,1,1.323334689,,,
Mical2,0.111398672,0.40309799,0.383,0.303,1,1.322344418,,,
Ippk,0.051644185,0.402916328,0.218,0.135,1,1.322177921,,,
Dsp,0.011272734,0.40212527,0.554,0.393,1,1.321453143,,,
Efnb2,0.01430473,0.402070641,0.554,0.472,1,1.321403106,,,
