rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold
Eci1,4.74809014407433e-179,0.282092645106837,0.307,0.158,1.53192380408414e-174,1.21595736543876
Igfbp4,4.61326831824411e-59,0.28146338346114,0.622,0.544,1.48842489019828e-54,1.21542711582523
Gm15283,8.01010760752048e-126,0.280491167336081,0.297,0.173,2.58438111849041e-121,1.21460832894113
Vcl,4.84984397014272e-78,0.280410374719235,0.554,0.439,1.56475365852685e-73,1.21454031135261
Abcc4,2.24395804971933e-98,0.279914197341105,0.523,0.393,7.23990625161445e-94,1.21412267367235
Frmd4b,1.07028450263884e-211,0.277951639369161,0.995,0.992,3.45316591931396e-207,1.21247217505841
Klf13,1.96503120767711e-100,0.277717978638321,0.635,0.494,6.33997668844944e-96,1.21227581741846
AI314278,3.78342137126817e-37,0.276429363651762,0.672,0.606,1.22068307122596e-32,1.21119349628303
Gm37245,5.57141658931178e-12,0.275198594209527,0.539,0.513,1.79756184837555e-07,1.21016066244006
Gm5089,2.10717489024224e-80,0.274214015593564,0.404,0.285,6.79858906587756e-76,1.20933506049708
Gm47167,6.49252133611419e-101,0.273628750764158,0.358,0.234,2.09474708388388e-96,1.20884456339772
Sycp3,6.02721911998277e-58,0.27338678765979,0.521,0.424,1.94462197687124e-53,1.20864183777087
1500035N22Rik,1.26593892285508e-105,0.273234205041861,0.298,0.179,4.08442534069964e-101,1.20851401589677
Slc22a5,6.34341491646364e-65,0.272269475111504,0.831,0.761,2.04663938864783e-60,1.20770615291733
Pik3c2g,3.33662371298413e-50,0.271967788646866,0.81,0.804,1.0765282747572e-45,1.20745363211641
Aspa,3.73059196641851e-53,0.270794552325861,0.924,0.913,1.20363819204527e-48,1.20647209925329
Gm50368,9.45981934470312e-94,0.270231436064426,0.222,0.126,3.05211611337502e-89,1.20600127800096
Keg1,6.61836241902636e-57,0.269593416566727,0.934,0.93,2.13534845087467e-52,1.20546805220407
Nfe2l2,1.29191949562744e-74,0.269155540334107,0.635,0.53,4.16824906069237e-70,1.20510223288783
Acnat1,5.32059620905321e-54,0.266211148409703,0.726,0.641,1.71663716088893e-49,1.20264525147898
Stat3,6.04480057851869e-103,0.265413213726446,0.662,0.532,1.95029445865327e-98,1.20198026892907
Slc35f1,3.96011892297683e-44,0.261913155328051,0.266,0.196,1.27769276930925e-39,1.19906773237012
Msi2,1.75561112475484e-60,0.261630794867072,0.935,0.914,5.66430373290901e-56,1.19883307696597
Gm16599,3.13142718039432e-73,0.261158112911803,0.658,0.541,1.01032366548242e-68,1.19844035783538
Adh1,1.02116041304454e-05,0.260800942058783,0.437,0.427,0.329467195664692,1.19814369431967
