rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Tnfaip8,0.790787318,0.266331237,0.403,0.439,1,1.202745363,,,
Uap1,0.048882595,0.264619545,0.538,0.474,1,1.201319206,,,
Acox1,0.081599946,0.264309981,0.54,0.702,1,1.201061463,,,
Grb10,0.00233191,0.263530198,0.469,0.375,1,1.200412459,,,
Clic4,0.586300799,0.263448059,0.701,0.699,1,1.200344116,,,
Lama1,0.003315304,0.263424183,0.346,0.263,1,1.200324251,,,
Lactb,0.000100998,0.263372461,0.282,0.176,1,1.20028122,,,
Plekhh1,0.002279163,0.263110609,0.279,0.194,1,1.200063386,,,
Rab30,0.001545235,0.262879386,0.182,0.107,1,1.199871065,,,
Timp3,0.485930894,0.262815021,0.625,0.702,1,1.199817535,,,
Plscr1,0.014231295,0.262616666,0.396,0.332,1,1.199652584,,,
Irf2bp2,0.000563263,0.261753398,0.334,0.245,1,1.198934961,,,
St3gal3,0.004182984,0.261367924,0.772,0.707,1,1.19861466,,,
Zfp64,0.000777152,0.261201071,0.344,0.245,1,1.198476044,,,
Tcaf1,0.000281503,0.261052729,0.294,0.194,1,1.198352819,,,
Slc22a5,0.012044871,0.260603649,0.531,0.454,1,1.197979856,,,
Cmtm4,0.002661799,0.260257806,0.363,0.273,1,1.19769271,,,
Flot2,0.000199964,0.260141325,0.346,0.232,1,1.197596014,,,
Me3,0.003298663,0.260041303,0.533,0.444,1,1.197512988,,,
Irak2,0.001134637,0.259895196,0.522,0.413,1,1.197391718,,,
Mapkapk2,0.010681258,0.258827498,0.543,0.472,1,1.196505889,,,
Ate1,0.000230986,0.25873528,0.308,0.199,1,1.196429411,,,
Nkiras1,0.001479497,0.258418438,0.227,0.151,1,1.196166682,,,
Igf2bp2,0.001506395,0.258387091,0.471,0.357,1,1.196140691,,,
Slc25a51,0.000431378,0.258343233,0.479,0.378,1,1.196104329,,,
Gm36283,0.00041837,0.258324037,0.102,0.041,1,1.196088414,,,
Cyp4f17,0.000246964,0.25784021,0.235,0.14,1,1.195687358,,,
Pak1,0.004388298,0.25755643,0.723,0.663,1,1.195452188,,,
Alpk1,0.053745301,0.256408083,0.301,0.255,1,1.194501017,,,
Mapk4,0.001667521,0.255560294,0.849,0.814,1,1.193799284,,,
Ptp4a2,0.001744898,0.254678527,0.678,0.607,1,1.193069864,,,
Phykpl,2.70E-05,0.254368656,0.369,0.235,0.871928633,1.192813637,,,
Ubxn4,0.000328073,0.254259624,0.621,0.52,1,1.192723493,,,
Fmo2,0.014113361,0.253940241,0.384,0.309,1,1.192459478,,,
Gm15261,0.108077303,0.253505831,0.315,0.276,1,1.19210047,,,
Ap2b1,0.000674284,0.253370904,0.626,0.538,1,1.191988985,,,
9630028H03Rik,5.81E-06,0.252916608,0.197,0.089,0.187437,1.191613694,,,
Slc5a12,0.599952702,0.252372174,0.396,0.416,1,1.191164096,,,
Rnf14,0.000922072,0.252047781,0.415,0.316,1,1.19089629,,,
Pdia3,0.03816338,0.251796492,0.486,0.434,1,1.190688878,,,
