rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Itgb8,6.34E-48,-0.563089548,0.236,0.474,2.04E-43,-1.477429765,,,
Prkag2,8.39E-123,-0.564243526,0.011,0.231,2.71E-118,-1.478611999,,,
Abca13,1.54E-38,-0.569540195,0.855,0.943,4.97E-34,-1.48405051,,,
Kng2,9.26E-76,-0.572512972,0.97,0.987,2.99E-71,-1.487111656,,,
Itga1,7.11E-38,-0.582543424,0.423,0.621,2.30E-33,-1.497486944,,,
Fut9,2.64E-94,-0.584730326,0,0.146,8.53E-90,-1.499758622,,,
Tsc22d1,2.82E-124,-0.59907411,0.026,0.279,9.08E-120,-1.514744125,,,
Kl,1.51E-57,-0.601116203,0.115,0.331,4.89E-53,-1.51688972,,,
Mtss1,1.09E-56,-0.603965489,0.145,0.38,3.52E-52,-1.519888499,,,
Osbpl8,3.76E-81,-0.60433008,0.057,0.281,1.21E-76,-1.520272646,,,
Slc15a2,2.08E-45,-0.617760504,0.402,0.659,6.70E-41,-1.53449134,,,
Mfsd4b1,7.18E-66,-0.618703965,0.108,0.337,2.32E-61,-1.53549516,,,
Gm42697,1.81E-25,-0.62426263,0.452,0.602,5.85E-21,-1.541422793,,,
Trps1,6.84E-33,-0.631181988,0.542,0.715,2.21E-28,-1.54883342,,,
Thsd4,1.23E-12,-0.634408021,0.223,0.327,3.97E-08,-1.552300666,,,
Lrrk2,2.46E-30,-0.636518352,0.484,0.645,7.94E-26,-1.554572986,,,
Igfbp7,1.14E-46,-0.636689372,0.389,0.65,3.69E-42,-1.554757279,,,
Slc4a4,3.18E-89,-0.641340178,0,0.138,1.02E-84,-1.559777428,,,
Egf,9.03E-31,-0.646175247,0.936,0.956,2.91E-26,-1.565013657,,,
Tmem52b,1.18E-26,-0.679192377,0.176,0.333,3.82E-22,-1.601243126,,,
Rida,3.34E-107,-0.702384784,0.038,0.283,1.08E-102,-1.62719233,,,
Arhgap24,7.07E-44,-0.711353409,0.62,0.802,2.28E-39,-1.637339404,,,
Dusp11,3.30E-62,-0.721201902,0.374,0.637,1.06E-57,-1.648554866,,,
Sfrp1,3.76E-21,-0.721817733,0.08,0.183,1.21E-16,-1.64925872,,,
Fut8,4.78E-161,-0.725230554,0.012,0.291,1.54E-156,-1.653164804,,,
Ivns1abp,1.94E-58,-0.757746685,0.643,0.836,6.27E-54,-1.690847662,,,
Camk1d,3.12E-102,-0.762782383,0.805,0.957,1.01E-97,-1.696759844,,,
Srsf2,5.76E-93,-0.769988856,0.152,0.476,1.86E-88,-1.705256611,,,
Umod,6.67E-66,-0.775860206,0.655,0.9,2.15E-61,-1.712210651,,,
AY036118,4.12E-51,-0.808403813,0.205,0.436,1.33E-46,-1.751272775,,,
Dpyd,2.59E-95,-0.816779303,0.207,0.564,8.35E-91,-1.761469266,,,
Glud1,2.16E-135,-0.835567594,0.092,0.451,6.96E-131,-1.784558992,,,
Rsrp1,6.65E-62,-0.844689091,0.36,0.627,2.14E-57,-1.795877682,,,
Enox1,7.16E-44,-0.848732023,0.28,0.517,2.31E-39,-1.800917413,,,
Snx29,3.63E-58,-0.867632578,0.28,0.539,1.17E-53,-1.824666216,,,
Nhs,2.79E-77,-0.883030643,0.145,0.426,9.02E-73,-1.844245408,,,
Gm6994,2.58E-37,-0.895700111,0.068,0.211,8.33E-33,-1.860512536,,,
Ghr,5.86E-55,-0.917365318,0.227,0.485,1.89E-50,-1.888663023,,,
Cdk8,9.05E-88,-0.942795572,0.538,0.806,2.92E-83,-1.922249457,,,
Tmem117,3.60E-61,-0.947858863,0.322,0.594,1.16E-56,-1.929007648,,,
Col5a2,3.44E-35,-0.959884913,0.078,0.221,1.11E-30,-1.94515472,,,
Wnk1,2.63E-46,-0.963556909,0.593,0.788,8.49E-42,-1.950111898,,,
Ranbp3l,5.41E-23,-0.968970259,0.519,0.644,1.75E-18,-1.957442947,,,
Trabd2b,6.85E-110,-1.011014042,0.087,0.395,2.21E-105,-2.015327136,,,
Fxyd2,1.28E-74,-1.093782177,0.41,0.723,4.13E-70,-2.134328404,,,
Gm26917,4.76E-106,-1.266032988,0.432,0.756,1.54E-101,-2.404993488,,,
Nr1h4,9.03E-256,-1.379028215,0.022,0.453,2.91E-251,-2.60093116,,,
Cmss1,4.63E-241,-1.474613069,0.829,0.979,1.50E-236,-2.779090988,,,
Chpt1,1.12E-303,-1.628744312,0.002,0.447,3.60E-299,-3.09243723,,,
Lars2,2.07E-251,-1.725166668,0.112,0.631,6.69E-247,-3.306183198,,,
Gm42418,0,-1.921407219,0.94,0.998,0,-3.787923565,,,
Pde4d,3.71E-260,-1.995715509,0.027,0.48,1.20E-255,-3.988138492,,,
Gpc5,7.55E-06,0.7294995,0.287,0.236,0.243549752,1.658063776,,,
Pitpnc1,0.000192469,0.484504662,0.604,0.6,1,1.399105411,,,
Herpud1,0.000329261,0.450808426,0.452,0.425,1,1.366805943,,,
Egfl6,9.70E-06,0.450299386,0.227,0.167,0.313078559,1.366323765,,,
Irs2,7.32E-06,0.391586287,0.234,0.174,0.236088875,1.311835013,,,
Itpkb,8.04E-05,0.381947722,0.304,0.246,1,1.303099929,,,
Mid1,3.40E-06,0.37433315,0.282,0.218,0.109609431,1.296240262,,,
Nabp1,0.017956923,0.358359759,0.425,0.418,1,1.281967563,,,
Map3k2,6.52E-05,0.357011686,0.678,0.654,1,1.280770236,,,
Slc22a5,0.027816675,0.352152187,0.399,0.397,1,1.276463413,,,
