rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Ppp1r16b,1.64E-19,-0.384625456,0.054,0.201,5.28E-15,-1.305520812,,,
Phactr2,9.41E-11,-0.384778317,0.392,0.562,3.04E-06,-1.305659145,,,
Col4a5,1.05E-08,-0.385327071,0.177,0.291,0.000340109,-1.30615587,,,
Clcn3,1.03E-08,-0.386079395,0.268,0.402,0.000333508,-1.306837171,,,
Slc25a36,1.95E-11,-0.386831255,0.328,0.492,6.30E-07,-1.307518405,,,
Car8,4.04E-09,-0.388478613,0.043,0.12,0.000130424,-1.309012263,,,
Mtss1,1.79E-13,-0.388931794,0.312,0.502,5.78E-09,-1.309423516,,,
Gls,6.74E-09,-0.389240204,0.547,0.668,0.00021734,-1.309703467,,,
Lpl,8.61E-22,-0.389636049,0.086,0.263,2.78E-17,-1.310062871,,,
Pbld1,5.10E-30,-0.390901057,0.009,0.153,1.64E-25,-1.311212086,,,
Slc1a1,5.66E-29,-0.391526544,0.013,0.161,1.83E-24,-1.311780691,,,
Macrod1,1.14E-27,-0.393791914,0.009,0.143,3.66E-23,-1.313842112,,,
Aldh4a1,1.73E-31,-0.397341649,0.006,0.15,5.58E-27,-1.317078786,,,
Cyp2j11,1.69E-20,-0.397398713,0.037,0.173,5.45E-16,-1.317130883,,,
Ugt8a,3.67E-25,-0.398480931,0.034,0.189,1.18E-20,-1.318119281,,,
Ankib1,6.04E-12,-0.401154639,0.417,0.586,1.95E-07,-1.320564382,,,
Ddx17,7.57E-15,-0.401976092,0.603,0.782,2.44E-10,-1.321316509,,,
Ddah1,9.14E-14,-0.4032729,0.11,0.254,2.95E-09,-1.322504746,,,
Vps13a,2.66E-12,-0.409165926,0.431,0.613,8.58E-08,-1.327917875,,,
Greb1l,1.20E-17,-0.411015744,0.058,0.194,3.86E-13,-1.329621618,,,
Crot,8.18E-37,-0.411912272,0.04,0.255,2.64E-32,-1.330448136,,,
Ar,7.42E-21,-0.41247546,0.262,0.514,2.40E-16,-1.330967607,,,
Myo18a,1.12E-12,-0.413501891,0.407,0.584,3.62E-08,-1.331914885,,,
Dgkd,1.04E-10,-0.413850782,0.333,0.474,3.35E-06,-1.332237024,,,
Hnf4g,2.10E-29,-0.41402734,0.012,0.159,6.78E-25,-1.332400074,,,
Adamts6,6.97E-11,-0.414211077,0.18,0.318,2.25E-06,-1.332569775,,,
