rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Rab5b,0.00022375,0.26402796,0.209,0.137,1,1.2008267,,,
Hoxa7,0.000143301,0.263732189,0.194,0.121,1,1.20058054,,,
Clip1,0.056278379,0.263165047,0.276,0.247,1,1.20010867,,,
6530409C15Rik,0.000607923,0.262190852,0.157,0.097,1,1.199298556,,,
Aopep,0.04858669,0.261675039,0.777,0.762,1,1.198869843,,,
Zdhhc17,0.086581005,0.261662473,0.337,0.314,1,1.198859401,,,
Supt16,0.015428525,0.26056326,0.295,0.244,1,1.197946318,,,
Fstl1,0.002197758,0.260483874,0.104,0.06,1,1.197880402,,,
Gm26542,0.001566279,0.260177376,0.348,0.27,1,1.197625941,,,
Gm43915,0.002412705,0.260119428,0.197,0.136,1,1.197577838,,,
Dstn,0.036913402,0.259921084,0.475,0.454,1,1.197413204,,,
F11r,0.02653521,0.259388418,0.262,0.224,1,1.196971182,,,
Mob3b,0.214925835,0.258948866,0.34,0.324,1,1.196606551,,,
Socs7,0.000950222,0.258595946,0.265,0.191,1,1.196313866,,,
Golph3l,0.001474922,0.258550563,0.157,0.101,1,1.196276234,,,
St13,0.011640687,0.258375468,0.408,0.358,1,1.196131055,,,
4933434E20Rik,0.025527086,0.258365101,0.223,0.185,1,1.19612246,,,
Gli3,0.012119379,0.257738823,0.109,0.071,1,1.195603332,,,
Rcor1,0.004988674,0.257705785,0.494,0.421,1,1.195575953,,,
Mcph1,0.040124569,0.257504912,0.234,0.188,1,1.195409499,,,
Larp1,6.58E-05,0.257445084,0.525,0.407,1,1.195359927,,,
Gm50232,0.000216338,0.25703097,0.186,0.113,1,1.195016858,,,
Map1b,0.037319141,0.257001141,0.225,0.178,1,1.19499215,,,
Aktip,0.003449914,0.256983825,0.414,0.348,1,1.194977807,,,
Lrrc31,0.061603224,0.25535251,0.14,0.107,1,1.19362736,,,
Ppp6r2,0.015016925,0.255198163,0.27,0.224,1,1.193499666,,,
Gm4651,1.84E-05,0.254269475,0.12,0.054,0.592637883,1.192731637,,,
Vac14,0.000105237,0.254239051,0.217,0.134,1,1.192706484,,,
Cstf3,0.314696825,0.254154925,0.57,0.579,1,1.192636938,,,
Spred2,0.075703489,0.254143073,0.51,0.498,1,1.19262714,,,
Ldlrad4,0.003191214,0.254109043,0.793,0.762,1,1.192599009,,,
Stard8,0.028363773,0.254017303,0.138,0.101,1,1.192523175,,,
Sntb1,0.129810082,0.25316212,0.233,0.201,1,1.191816495,,,
Esyt2,0.013229727,0.252941177,0.737,0.773,1,1.191633987,,,
4930557K07Rik,0.000212248,0.252887717,0.212,0.134,1,1.191589831,,,
Hoxb6,0.001880479,0.252353699,0.652,0.613,1,1.191148842,,,
Tead1,0.000379246,0.252283882,0.9,0.904,1,1.1910912,,,
Gnai2,0.015746973,0.252185081,0.294,0.238,1,1.191009632,,,
Vopp1,0.001976247,0.252125702,0.305,0.243,1,1.190960613,,,
Pi4kb,0.000200251,0.252027563,0.363,0.258,1,1.190879601,,,
Calm2,0.03495245,0.251908002,0.441,0.409,1,1.190780913,,,
Stim1,0.269106852,0.251578689,0.186,0.17,1,1.190509134,,,
Trabd,0.000241788,0.251517111,0.236,0.161,1,1.19045832,,,
Nipsnap2,0.03616877,0.251089946,0.384,0.331,1,1.190105892,,,
Ctps,0.000749401,0.251016243,0.194,0.126,1,1.190045094,,,
Ctbp2,5.69E-06,0.250972133,0.167,0.086,0.183596172,1.19000871,,,
Cnksr1,0.001349253,0.250638983,0.291,0.22,1,1.189733942,,,
Pi4k2b,0.007075848,0.250604845,0.36,0.294,1,1.189705791,,,
Rrp1b,0.001478796,0.250344061,0.173,0.113,1,1.189490756,,,
Dnajb4,0.001977261,-0.250017137,0.191,0.252,1,-1.189221241,,,
Wwc2,0.000154041,-0.250076923,0.843,0.886,1,-1.189270524,,,
Ankrd17,4.26E-06,-0.250296011,0.825,0.903,0.137354174,-1.18945114,,,
Lrrc20,0.00277787,-0.250462718,0.217,0.28,1,-1.189588593,,,
Smg7,0.000128482,-0.250617278,0.403,0.492,1,-1.189716043,,,
Gpat3,0.004852784,-0.250975059,0.08,0.126,1,-1.190011123,,,
Atp6v0e,0.000306566,-0.251632874,0.173,0.243,1,-1.190553848,,,
Pan3,6.95E-06,-0.251721303,0.83,0.903,0.224247812,-1.190626824,,,
Farsb,6.45E-05,-0.251770824,0.132,0.207,1,-1.190667694,,,
Slc14a2,0.003289546,-0.252756942,0.254,0.331,1,-1.191481822,,,
Ocrl,5.05E-05,-0.252831331,0.31,0.408,1,-1.19154326,,,
Mpp6,0.000186954,-0.253274986,0.302,0.385,1,-1.191909738,,,
Gm13483,0.001562836,-0.25330669,0.183,0.251,1,-1.191935931,,,
Pex7,8.24E-05,-0.253374925,0.164,0.245,1,-1.191992307,,,
Ptk2,4.91E-05,-0.253498254,0.538,0.639,1,-1.192094209,,,
Herc1,0.000218279,-0.253893157,0.522,0.619,1,-1.192420561,,,
Umad1,0.001018464,-0.254391494,0.353,0.429,1,-1.192832519,,,
Zfand6,0.007759292,-0.255633195,0.523,0.586,1,-1.19385961,,,
Marf1,9.20E-05,-0.255659612,0.22,0.307,1,-1.19388147,,,
Insr,0.000780416,-0.256456991,0.384,0.476,1,-1.194541512,,,
Mta3,0.00025933,-0.256639251,0.388,0.472,1,-1.194692432,,,
Dglucy,2.99E-05,-0.25666974,0.101,0.178,0.964350213,-1.19471768,,,
Lin52,0.002950344,-0.256690004,0.363,0.427,1,-1.194734461,,,
Rnf103,0.000200841,-0.256733718,0.146,0.223,1,-1.194770663,,,
Qk,5.92E-06,-0.256940832,0.652,0.735,0.191013329,-1.194942196,,,
Rbx1,0.000194538,-0.258393624,0.104,0.168,1,-1.196146108,,,
Phf8,0.000433019,-0.258573148,0.202,0.277,1,-1.196294962,,,
Mprip,6.17E-06,-0.25902989,0.759,0.815,0.198955876,-1.196673756,,,
Ctnna1,8.56E-06,-0.259454218,0.812,0.899,0.276084621,-1.197025775,,,
Mpp5,3.51E-05,-0.259461091,0.679,0.777,1,-1.197031478,,,
Pdlim5,1.30E-05,-0.259714286,0.501,0.625,0.418583202,-1.197241577,,,
Rbm33,0.004383542,-0.260357494,0.366,0.418,1,-1.197775472,,,
Map2k5,0.000163213,-0.261434648,0.464,0.546,1,-1.198670096,,,
Mid1,0.000867411,-0.261451491,0.578,0.639,1,-1.198684091,,,
Sptlc2,7.01E-05,-0.261466915,0.483,0.576,1,-1.198696906,,,
Trip12,2.62E-06,-0.261554843,0.783,0.886,0.084452991,-1.198769965,,,
Ampd3,0.005955563,-0.261939483,0.284,0.345,1,-1.199089614,,,
Foxj3,0.00087766,-0.26209107,0.384,0.451,1,-1.199215612,,,
Rapgef2,0.000535958,-0.263764965,0.624,0.693,1,-1.200607816,,,
Gls,0.000371625,-0.263903288,0.961,0.942,1,-1.200722933,,,
Trpm1,0.001785556,-0.264218801,0.072,0.124,1,-1.200985557,,,
Tle4,0.000581206,-0.264364845,0.376,0.461,1,-1.201107139,,,
Ankrd33b,0.000360885,-0.264587936,0.231,0.312,1,-1.201292886,,,
Lnpep,0.001108322,-0.265701861,0.506,0.598,1,-1.20222078,,,
Cnot2,0.000599178,-0.266189118,0.462,0.544,1,-1.202626887,,,
Mnat1,0.000376324,-0.266320347,0.446,0.518,1,-1.202736284,,,
Zfp207,3.48E-05,-0.267303425,0.451,0.559,1,-1.203556129,,,
Tspan3,0.000226434,-0.267646635,0.12,0.185,1,-1.203842483,,,
Map3k7,0.001295898,-0.267697848,0.263,0.325,1,-1.203885218,,,
Sim2,0.000111108,-0.267784943,0.404,0.509,1,-1.203957899,,,
Hmbox1,1.26E-05,-0.268493767,0.291,0.397,0.40646483,-1.204549571,,,
Pon2,0.002507565,-0.268536861,0.096,0.146,1,-1.204585553,,,
Aldh7a1,7.31E-05,-0.268548236,0.098,0.167,1,-1.20459505,,,
Pspc1,0.00017525,-0.268649953,0.461,0.539,1,-1.204679983,,,
Eif3e,0.000679341,-0.269564209,0.186,0.247,1,-1.205443648,,,
Txnl1,8.62E-05,-0.269587992,0.172,0.251,1,-1.20546352,,,
Rap1b,0.000448021,-0.270115241,0.353,0.435,1,-1.20590415,,,
Ipo7,0.000679108,-0.27021562,0.249,0.318,1,-1.205988057,,,
Wdr41,0.019017228,-0.271163554,0.162,0.198,1,-1.206780721,,,
Eml4,7.24E-06,-0.271294468,0.348,0.458,0.23375161,-1.206890232,,,
Phka1,8.32E-06,-0.271302233,0.363,0.479,0.268510481,-1.206896729,,,
Stx6,0.000388752,-0.273179503,0.313,0.392,1,-1.208468194,,,
Hnrnpa1,1.74E-05,-0.273243496,0.161,0.247,0.56176091,-1.208521799,,,
Stt3b,0.00041352,-0.273577702,0.31,0.381,1,-1.20880179,,,
Arap2,0.000292769,-0.273869648,0.419,0.499,1,-1.20904643,,,
Jmy,1.12E-05,-0.274172414,0.175,0.27,0.361279295,-1.209300188,,,
Schip1,2.52E-05,-0.274308914,0.446,0.552,0.812906448,-1.209414611,,,
Tnks2,0.0001199,-0.274642259,0.648,0.752,1,-1.209694088,,,
Mbnl3,0.010508822,-0.275351919,0.069,0.107,1,-1.210289281,,,
Rad21,5.41E-05,-0.275682136,0.44,0.546,1,-1.210566335,,,
Gal3st1,0.004503482,-0.27665812,0.159,0.21,1,-1.211385561,,,
Lamc2,0.001337789,-0.277146127,0.152,0.218,1,-1.211795394,,,
Mbd5,8.24E-06,-0.27721271,0.636,0.753,0.265789778,-1.211851322,,,
Lmo7,2.69E-06,-0.277715404,0.803,0.914,0.086920968,-1.212273654,,,
Tet3,5.49E-05,-0.277859551,0.368,0.459,1,-1.212394785,,,
Heatr5b,0.000104288,-0.278151374,0.083,0.148,1,-1.212640048,,,
Tnrc6c,6.70E-06,-0.27963041,0.49,0.622,0.216320256,-1.213883871,,,
Cdc73,2.68E-05,-0.280347066,0.408,0.512,0.866112442,-1.214487016,,,
Rnf128,4.02E-06,-0.28105136,0.424,0.565,0.129736292,-1.215080048,,,
Taf4b,0.000380485,-0.282550146,0.135,0.203,1,-1.216343026,,,
Ptbp3,0.000585402,-0.282632575,0.722,0.776,1,-1.216412523,,,
Rb1cc1,7.81E-05,-0.282729486,0.421,0.511,1,-1.216494237,,,
Dleu2,4.98E-05,-0.282820931,0.713,0.789,1,-1.216571347,,,
Gm41496,6.48E-05,-0.283435564,0.071,0.137,1,-1.217089754,,,
St5,0.001346429,-0.283689389,0.347,0.415,1,-1.217303906,,,
Gm31814,0.002020609,-0.283930017,0.074,0.121,1,-1.217506957,,,
Ppp1r9a,2.49E-06,-0.284012539,0.562,0.68,0.080405901,-1.217576601,,,
Adgrg3,0.00076955,-0.284138401,0.501,0.571,1,-1.217682829,,,
Cpeb4,0.000110874,-0.284367693,0.61,0.713,1,-1.217876373,,,
Zfx,6.95E-05,-0.284455313,0.308,0.405,1,-1.217950341,,,
Ctnnd1,8.12E-06,-0.288062203,0.682,0.76,0.262134201,-1.220999156,,,
Mbnl1,1.09E-05,-0.288876624,0.499,0.605,0.35105129,-1.221688621,,,
